,G,AA,NT,rRNA,rP,IG,EAA,ENT,RNAP,AF,R,mu,EGVs,x
0.83EGM1,-4.604611622869312e-17,-2.2306785195233557e-16,-1.3826625456449241e-17,0.0,0.0,0.0015719997942386025,0.32687438895602516,0.013036770105858264,0.0011005157606103699,0.010380336479582208,0.6470359889036597,2.604,EGM1,0.83
0.83EGM2,-1.6883575950520812e-16,-7.435595065077854e-17,0.0,0.0,0.0,0.0015719997942386028,0.3268805104875851,0.013187193660507237,0.0011002541418880306,0.010377868827173727,0.6468821730885816,2.604,EGM2,0.83
0.83EGM3,-4.604611622869312e-17,-7.435595065077854e-17,1.3826625456449241e-17,0.0,0.0,0.0015719997942386028,0.3268805104875851,0.013033670956113573,0.0012537768462816982,0.010377868827173729,0.6468821730885816,2.604,EGM3,0.83
0.83EGM4,6.13948216382575e-17,-7.435595065077854e-17,-1.3826625456449241e-17,0.0006171243213473857,0.0,0.0015719997942386025,0.3267519263183167,0.013098769304698103,0.0011057495029341531,0.010371464391916725,0.6464829663665226,2.604,EGM4,0.83
0.83EGM5,-1.6883575950520812e-16,-7.435595065077854e-17,0.0,0.0,0.0,0.0015719997942386028,0.3268805104875851,0.013033670956113573,0.0011002541418880306,0.010531391531567395,0.6468821730885816,2.604,EGM5,0.83
0.83EGM6,7.674352704782188e-17,-2.2306785195233557e-16,1.3826625456449241e-17,0.0,0.00015352270439366033,0.0015719997942386028,0.32688051048758515,0.013033670956113573,0.0011002541418880306,0.010377868827173729,0.6468821730885816,2.604,EGM6,0.83
0.83EGM7,-1.6883575950520812e-16,0.0,0.0,0.0,0.0,0.0017255224986322704,0.3268805104875851,0.013033670956113573,0.0011002541418880306,0.010377868827173727,0.6468821730885816,2.604,EGM7,0.83
0.83EGM8,-1.6883575950520812e-16,-1.4871190130155707e-16,0.0,0.0,0.0,0.0015719997942386028,0.32703403319197877,0.013033670956113573,0.0011002541418880306,0.010377868827173727,0.6468821730885816,2.604,EGM8,0.83
0.835EGM1,-7.695038291587531e-17,1.4911274200587392e-16,0.0,0.0,0.0,0.0015677739883401126,0.32672756799350505,0.012631199126982502,0.0010662789634071743,0.010362176447444556,0.6476450034802949,2.597,EGM1,0.835
0.835EGM2,6.156030633270025e-17,-7.455637100293696e-17,0.0,0.0,0.0,0.0015677739883401126,0.3267361189632289,0.012848532993736467,0.0010659135166636595,0.010358625009435928,0.6474230355285694,2.597,EGM2,0.835
